Item_ID,Category,Title,Weight,Price,Image_File
ITEM-001,Cooking Oils & Ghee,Sufi Canola Oil Pouch,1 Litre,598,ITEM-001.jpg
ITEM-002,Cooking Oils & Ghee,Sufi Canola Oil Bottle,3 Litre,1845,ITEM-002.jpg
ITEM-003,Cooking Oils & Ghee,Sufi Canola Oil Bottle (4.5 Ltr),4.5 Litre,2740,ITEM-003.jpg
ITEM-004,Cooking Oils & Ghee,Sufi Soyabean Oil Pouch ( 1 Ltr ),1 Litre,620,ITEM-004.jpg
ITEM-005,Cooking Oils & Ghee,Sufi Banaspati Tin,5 Kg,3080,ITEM-005.jpg
ITEM-006,Cooking Oils & Ghee,Sufi Sunflower Oil Pouch (1Ltr),1 Litre,610,ITEM-006.jpg
ITEM-007,Cooking Oils & Ghee,Sufi Sunflower Oil Bottle (4.5 Ltr),4.5 Litre,2835,ITEM-007.jpg
ITEM-008,Cooking Oils & Ghee,Sufi Sunflower Oil Bottle ( 3Ltr),3 Litre,1905,ITEM-008.jpg
ITEM-009,Toothpastes & Oral Care,Colgate MaxFresh Spicy Fresh Toothpaste 125g,125 g,325,ITEM-009.jpg
ITEM-010,Toothpastes & Oral Care,Colgate MaxFresh Citrus Blast Toothpaste 125g,125 g,325,ITEM-010.jpg
ITEM-011,Toothpastes & Oral Care,Colgate Zig Zag Toothbrush - Soft,1 unit,146,ITEM-011.jpg
ITEM-012,Toothpastes & Oral Care,Colgate Maximum Cavity Toothpaste-Brush pack,75 g,220,ITEM-012.jpg
ITEM-013,Toothpastes & Oral Care,Colgate Slimsoft Charcoal Toothbrush,1 unit,285,ITEM-013.jpg
ITEM-014,Toothpastes & Oral Care,Colgate Maximum Cavity Protection Toothpaste  Regular Buy 1 Get 1 Free,200 g,437,ITEM-014.jpg
ITEM-015,Toothpastes & Oral Care,Colgate Plax Peppermint Anti Germs Mouth Wash,250 ml,540,ITEM-015.jpg
ITEM-016,Toothpastes & Oral Care,Colgate Sensitive Pro-Relief Original Toothpaste 100g,100 g,490,ITEM-016.jpg
ITEM-017,Toothpastes & Oral Care,Colgate Plax Fresh Mint Mouthwash,500 ml,1045,ITEM-017.jpg
ITEM-018,Toothpastes & Oral Care,Colgate Herbal Toothpaste 100g,100 g,220,ITEM-018.png
ITEM-019,Toothpastes & Oral Care,Colgate MaxFresh Peppermint Ice Toothpaste 125g,125 g,325,ITEM-019.jpg
ITEM-020,Toothpastes & Oral Care,Colgate MaxFresh Peppermint Ice Toothpaste 75g,75 g,220,ITEM-020.jpg
ITEM-021,Toothpastes & Oral Care,Colgate Extra Clean Toothbrush - Medium,1 unit,104,ITEM-021.jpg
ITEM-022,Toothpastes & Oral Care,Colgate Twister Toothbrush - Soft,1 unit,140,ITEM-022.jpg
ITEM-023,Toothpastes & Oral Care,Colgate Max Fresh Green Tooth Paste,75 g,220,ITEM-023.png
ITEM-024,Toothpastes & Oral Care,Colgate MaxFresh Spicy Fresh Toothpaste,75 g,220,ITEM-024.jpg
ITEM-025,Toothpastes & Oral Care,Colgate Herbal Toothpaste 150g,150 g,325,ITEM-025.jpg
ITEM-026,Toothpastes & Oral Care,Colgate 360 Base Toothbrush - Soft,1 unit,210,ITEM-026.jpg
ITEM-027,Toothpastes & Oral Care,Colgate Navigator Plus Toothbrush,1 unit,210,ITEM-027.jpg
